class_id,one_based_label,name,set
0,1,brush_hair,seen
1,2,cartwheel,seen
3,4,chew,seen
4,5,clap,seen
5,6,climb,seen
6,7,climb_stairs,seen
8,9,draw_sword,seen
9,10,dribble,seen
10,11,drink,seen
13,14,fencing,seen
14,15,flic_flac,seen
15,16,golf,seen
17,18,hit,seen
18,19,hug,seen
19,20,jump,seen
20,21,kick,seen
22,23,kiss,seen
23,24,laugh,seen
25,26,pour,seen
27,28,punch,seen
29,30,pushup,seen
31,32,ride_horse,seen
34,35,shoot_ball,seen
36,37,shoot_gun,seen
39,40,smile,seen
41,42,somersault,seen
42,43,stand,seen
43,44,swing_baseball,seen
44,45,sword,seen
48,49,turn,seen
50,51,wave,seen
2,3,catch,unseen
7,8,dive,unseen
11,12,eat,unseen
12,13,fall_floor,unseen
16,17,handstand,unseen
21,22,kick_ball,unseen
24,25,pick,unseen
26,27,pullup,unseen
28,29,push,unseen
30,31,ride_bike,unseen
32,33,run,unseen
33,34,shake_hands,unseen
35,36,shoot_bow,unseen
37,38,sit,unseen
38,39,situp,unseen
40,41,smoke,unseen
45,46,sword_exercise,unseen
46,47,talk,unseen
47,48,throw,unseen
49,50,walk,unseen
