class_id,one_based_label,name,set
0,1,brush_hair,seen
2,3,catch,seen
3,4,chew,seen
4,5,clap,seen
6,7,climb_stairs,seen
7,8,dive,seen
8,9,draw_sword,seen
9,10,dribble,seen
10,11,drink,seen
11,12,eat,seen
13,14,fencing,seen
14,15,flic_flac,seen
17,18,hit,seen
22,23,kiss,seen
23,24,laugh,seen
25,26,pour,seen
27,28,punch,seen
28,29,push,seen
29,30,pushup,seen
33,34,shake_hands,seen
34,35,shoot_ball,seen
36,37,shoot_gun,seen
37,38,sit,seen
38,39,situp,seen
41,42,somersault,seen
42,43,stand,seen
44,45,sword,seen
45,46,sword_exercise,seen
46,47,talk,seen
49,50,walk,seen
50,51,wave,seen
1,2,cartwheel,unseen
5,6,climb,unseen
12,13,fall_floor,unseen
15,16,golf,unseen
16,17,handstand,unseen
18,19,hug,unseen
19,20,jump,unseen
20,21,kick,unseen
21,22,kick_ball,unseen
24,25,pick,unseen
26,27,pullup,unseen
30,31,ride_bike,unseen
31,32,ride_horse,unseen
32,33,run,unseen
35,36,shoot_bow,unseen
39,40,smile,unseen
40,41,smoke,unseen
43,44,swing_baseball,unseen
47,48,throw,unseen
48,49,turn,unseen
