class_id,one_based_label,name,set
0,1,ApplyEyeMakeup,seen
1,2,ApplyLipstick,seen
2,3,Archery,seen
3,4,BabyCrawling,seen
5,6,BandMarching,seen
6,7,BaseballPitch,seen
7,8,Basketball,seen
9,10,BenchPress,seen
10,11,Biking,seen
11,12,Billiards,seen
13,14,BlowingCandles,seen
14,15,BodyWeightSquats,seen
15,16,Bowling,seen
17,18,BoxingSpeedBag,seen
18,19,BreastStroke,seen
19,20,BrushingTeeth,seen
20,21,CleanAndJerk,seen
21,22,CliffDiving,seen
22,23,CricketBowling,seen
24,25,CuttingInKitchen,seen
25,26,Diving,seen
26,27,Drumming,seen
27,28,Fencing,seen
29,30,FloorGymnastics,seen
30,31,FrisbeeCatch,seen
31,32,FrontCrawl,seen
32,33,GolfSwing,seen
33,34,Haircut,seen
35,36,HammerThrow,seen
36,37,HandstandPushups,seen
37,38,HandstandWalking,seen
39,40,HighJump,seen
40,41,HorseRace,seen
41,42,HorseRiding,seen
42,43,HulaHoop,seen
44,45,JavelinThrow,seen
45,46,JugglingBalls,seen
46,47,JumpRope,seen
47,48,JumpingJack,seen
48,49,Kayaking,seen
50,51,LongJump,seen
51,52,Lunges,seen
52,53,MilitaryParade,seen
53,54,Mixing,seen
54,55,MoppingFloor,seen
56,57,ParallelBars,seen
57,58,PizzaTossing,seen
58,59,PlayingCello,seen
59,60,PlayingDaf,seen
61,62,PlayingFlute,seen
62,63,PlayingGuitar,seen
63,64,PlayingPiano,seen
64,65,PlayingSitar,seen
66,67,PlayingViolin,seen
67,68,PoleVault,seen
68,69,PommelHorse,seen
69,70,PullUps,seen
71,72,PushUps,seen
72,73,Rafting,seen
73,74,RockClimbingIndoor,seen
74,75,RopeClimbing,seen
75,76,Rowing,seen
77,78,ShavingBeard,seen
78,79,Shotput,seen
79,80,SkateBoarding,seen
80,81,Skiing,seen
81,82,Skijet,seen
83,84,SoccerJuggling,seen
84,85,SoccerPenalty,seen
86,87,SumoWrestling,seen
87,88,Surfing,seen
88,89,Swing,seen
90,91,TaiChi,seen
91,92,TennisSwing,seen
92,93,ThrowDiscus,seen
94,95,Typing,seen
95,96,UnevenBars,seen
96,97,VolleyballSpiking,seen
98,99,WallPushups,seen
99,100,WritingOnBoard,seen
4,5,BalanceBeam,unseen
8,9,BasketballDunk,unseen
12,13,BlowDryHair,unseen
16,17,BoxingPunchingBag,unseen
23,24,CricketShot,unseen
28,29,FieldHockeyPenalty,unseen
34,35,Hammering,unseen
38,39,HeadMassage,unseen
43,44,IceDancing,unseen
49,50,Knitting,unseen
55,56,Nunchucks,unseen
60,61,PlayingDhol,unseen
65,66,PlayingTabla,unseen
70,71,Punch,unseen
76,77,SalsaSpin,unseen
82,83,SkyDiving,unseen
85,86,StillRings,unseen
89,90,TableTennisShot,unseen
93,94,TrampolineJumping,unseen
97,98,WalkingWithDog,unseen
100,101,YoYo,unseen
