class_id,one_based_label,name,set
0,1,ApplyEyeMakeup,seen
1,2,ApplyLipstick,seen
3,4,BabyCrawling,seen
7,8,Basketball,seen
8,9,BasketballDunk,seen
10,11,Biking,seen
11,12,Billiards,seen
12,13,BlowDryHair,seen
13,14,BlowingCandles,seen
15,16,Bowling,seen
17,18,BoxingSpeedBag,seen
18,19,BreastStroke,seen
19,20,BrushingTeeth,seen
20,21,CleanAndJerk,seen
21,22,CliffDiving,seen
22,23,CricketBowling,seen
24,25,CuttingInKitchen,seen
25,26,Diving,seen
26,27,Drumming,seen
27,28,Fencing,seen
30,31,FrisbeeCatch,seen
32,33,GolfSwing,seen
33,34,Haircut,seen
34,35,Hammering,seen
35,36,HammerThrow,seen
36,37,HandstandPushups,seen
37,38,HandstandWalking,seen
38,39,HeadMassage,seen
39,40,HighJump,seen
40,41,HorseRace,seen
41,42,HorseRiding,seen
42,43,HulaHoop,seen
43,44,IceDancing,seen
44,45,JavelinThrow,seen
45,46,JugglingBalls,seen
46,47,JumpRope,seen
48,49,Kayaking,seen
49,50,Knitting,seen
50,51,LongJump,seen
51,52,Lunges,seen
53,54,Mixing,seen
54,55,MoppingFloor,seen
55,56,Nunchucks,seen
56,57,ParallelBars,seen
57,58,PizzaTossing,seen
58,59,PlayingCello,seen
59,60,PlayingDaf,seen
60,61,PlayingDhol,seen
61,62,PlayingFlute,seen
62,63,PlayingGuitar,seen
65,66,PlayingTabla,seen
66,67,PlayingViolin,seen
67,68,PoleVault,seen
68,69,PommelHorse,seen
69,70,PullUps,seen
70,71,Punch,seen
71,72,PushUps,seen
72,73,Rafting,seen
73,74,RockClimbingIndoor,seen
74,75,RopeClimbing,seen
76,77,SalsaSpin,seen
77,78,ShavingBeard,seen
78,79,Shotput,seen
79,80,SkateBoarding,seen
81,82,Skijet,seen
82,83,SkyDiving,seen
83,84,SoccerJuggling,seen
84,85,SoccerPenalty,seen
85,86,StillRings,seen
86,87,SumoWrestling,seen
87,88,Surfing,seen
90,91,TaiChi,seen
91,92,TennisSwing,seen
92,93,ThrowDiscus,seen
93,94,TrampolineJumping,seen
94,95,Typing,seen
96,97,VolleyballSpiking,seen
97,98,WalkingWithDog,seen
99,100,WritingOnBoard,seen
100,101,YoYo,seen
2,3,Archery,unseen
4,5,BalanceBeam,unseen
5,6,BandMarching,unseen
6,7,BaseballPitch,unseen
9,10,BenchPress,unseen
14,15,BodyWeightSquats,unseen
16,17,BoxingPunchingBag,unseen
23,24,CricketShot,unseen
28,29,FieldHockeyPenalty,unseen
29,30,FloorGymnastics,unseen
31,32,FrontCrawl,unseen
47,48,JumpingJack,unseen
52,53,MilitaryParade,unseen
63,64,PlayingPiano,unseen
64,65,PlayingSitar,unseen
75,76,Rowing,unseen
80,81,Skiing,unseen
88,89,Swing,unseen
89,90,TableTennisShot,unseen
95,96,UnevenBars,unseen
98,99,WallPushups,unseen
