class_id,one_based_label,name,set
0,1,ApplyEyeMakeup,seen
1,2,ApplyLipstick,seen
3,4,BabyCrawling,seen
4,5,BalanceBeam,seen
5,6,BandMarching,seen
7,8,Basketball,seen
8,9,BasketballDunk,seen
9,10,BenchPress,seen
10,11,Biking,seen
11,12,Billiards,seen
12,13,BlowDryHair,seen
13,14,BlowingCandles,seen
15,16,Bowling,seen
16,17,BoxingPunchingBag,seen
17,18,BoxingSpeedBag,seen
18,19,BreastStroke,seen
19,20,BrushingTeeth,seen
21,22,CliffDiving,seen
22,23,CricketBowling,seen
23,24,CricketShot,seen
24,25,CuttingInKitchen,seen
25,26,Diving,seen
27,28,Fencing,seen
28,29,FieldHockeyPenalty,seen
29,30,FloorGymnastics,seen
31,32,FrontCrawl,seen
32,33,GolfSwing,seen
33,34,Haircut,seen
34,35,Hammering,seen
35,36,HammerThrow,seen
37,38,HandstandWalking,seen
38,39,HeadMassage,seen
39,40,HighJump,seen
41,42,HorseRiding,seen
42,43,HulaHoop,seen
43,44,IceDancing,seen
44,45,JavelinThrow,seen
46,47,JumpRope,seen
47,48,JumpingJack,seen
48,49,Kayaking,seen
49,50,Knitting,seen
50,51,LongJump,seen
51,52,Lunges,seen
53,54,Mixing,seen
54,55,MoppingFloor,seen
55,56,Nunchucks,seen
56,57,ParallelBars,seen
58,59,PlayingCello,seen
59,60,PlayingDaf,seen
60,61,PlayingDhol,seen
62,63,PlayingGuitar,seen
63,64,PlayingPiano,seen
64,65,PlayingSitar,seen
65,66,PlayingTabla,seen
66,67,PlayingViolin,seen
67,68,PoleVault,seen
69,70,PullUps,seen
70,71,Punch,seen
71,72,PushUps,seen
72,73,Rafting,seen
74,75,RopeClimbing,seen
75,76,Rowing,seen
76,77,SalsaSpin,seen
77,78,ShavingBeard,seen
79,80,SkateBoarding,seen
80,81,Skiing,seen
82,83,SkyDiving,seen
83,84,SoccerJuggling,seen
84,85,SoccerPenalty,seen
85,86,StillRings,seen
87,88,Surfing,seen
88,89,Swing,seen
89,90,TableTennisShot,seen
91,92,TennisSwing,seen
92,93,ThrowDiscus,seen
93,94,TrampolineJumping,seen
95,96,UnevenBars,seen
96,97,VolleyballSpiking,seen
97,98,WalkingWithDog,seen
100,101,YoYo,seen
2,3,Archery,unseen
6,7,BaseballPitch,unseen
14,15,BodyWeightSquats,unseen
20,21,CleanAndJerk,unseen
26,27,Drumming,unseen
30,31,FrisbeeCatch,unseen
36,37,HandstandPushups,unseen
40,41,HorseRace,unseen
45,46,JugglingBalls,unseen
52,53,MilitaryParade,unseen
57,58,PizzaTossing,unseen
61,62,PlayingFlute,unseen
68,69,PommelHorse,unseen
73,74,RockClimbingIndoor,unseen
78,79,Shotput,unseen
81,82,Skijet,unseen
86,87,SumoWrestling,unseen
90,91,TaiChi,unseen
94,95,Typing,unseen
98,99,WallPushups,unseen
99,100,WritingOnBoard,unseen
